config,seed,stage,accuracy,runtime
Config. 3,0,1,0.69140625,0.020356700002594152
Config. 3,0,2,0.76171875,0.05551440000272123
Config. 3,0,3,0.79296875,0.08626960000401596
Config. 3,0,4,0.83203125,0.12613410000267322
Config. 3,0,5,0.84765625,0.17630910000298172
Config. 3,0,6,0.85546875,0.21912340000199038
Config. 3,0,7,0.87109375,0.25314549999893643
Config. 3,0,8,0.87890625,0.3242465000002994
Config. 3,0,9,0.87890625,0.3884713000006741
Config. 3,0,10,0.88671875,0.4500560000014957
Config. 3,0,11,0.88671875,0.5353512000037881
Config. 3,0,12,0.88671875,0.6349532000022009
Config. 3,0,13,0.88671875,0.7361635000052047
Config. 3,0,14,0.88671875,0.8268025000033958
Config. 3,0,15,0.88671875,0.9435904000019946
Config. 3,0,16,0.88671875,1.0479034000018146
Config. 3,0,17,0.88671875,1.167287899999792
Config. 3,0,18,0.88671875,1.2711534000009124
Config. 3,0,19,0.88671875,1.4180921000006492
Config. 3,0,20,0.88671875,1.5529653000012331
Config. 3,1,1,0.69140625,0.018005100002483232
Config. 3,1,2,0.74609375,0.05127770000035525
Config. 3,1,3,0.78515625,0.08185239999875193
Config. 3,1,4,0.80078125,0.11875610000060988
Config. 3,1,5,0.83203125,0.15585139999893727
Config. 3,1,6,0.85546875,0.19752750000043306
Config. 3,1,7,0.85546875,0.25095820000206004
Config. 3,1,8,0.85546875,0.309533100004046
Config. 3,1,9,0.85546875,0.3555239000052097
Config. 3,1,10,0.85546875,0.4086390000047686
Config. 3,1,11,0.85546875,0.4630447000017739
Config. 3,1,12,0.85546875,0.6044156000025396
Config. 3,1,13,0.85546875,0.6645926000055624
Config. 3,1,14,0.85546875,0.7628768000067794
Config. 3,1,15,0.85546875,0.8664145000038843
Config. 3,1,16,0.85546875,0.9528188000040245
Config. 3,1,17,0.85546875,1.0354579000049853
Config. 3,1,18,0.85546875,1.1559041000036814
Config. 3,1,19,0.85546875,1.2367451000027359
Config. 3,1,20,0.85546875,1.3588938000029884
Config. 3,2,1,0.69921875,0.021861599998374004
Config. 3,2,2,0.78515625,0.03816539999752422
Config. 3,2,3,0.80859375,0.0768696999984968
Config. 3,2,4,0.81640625,0.1084296999979415
Config. 3,2,5,0.81640625,0.15735750000021653
Config. 3,2,6,0.81640625,0.21056359999784036
Config. 3,2,7,0.81640625,0.2611814999982016
Config. 3,2,8,0.81640625,0.325164699996094
Config. 3,2,9,0.81640625,0.3688858999958029
Config. 3,2,10,0.81640625,0.4186578999979247
Config. 3,2,11,0.81640625,0.4916806999972323
Config. 3,2,12,0.81640625,0.5704243999971368
Config. 3,2,13,0.81640625,0.6601779999946302
Config. 3,2,14,0.81640625,0.7127843999951438
Config. 3,2,15,0.81640625,0.7934689999965485
Config. 3,2,16,0.81640625,0.9239125999956741
Config. 3,2,17,0.81640625,1.0163862999943376
Config. 3,2,18,0.81640625,1.087398999996367
Config. 3,2,19,0.81640625,1.1883313999969687
Config. 3,2,20,0.81640625,1.32271149999724
Config. 3,3,1,0.734375,0.024072600001090905
Config. 3,3,2,0.8046875,0.056207900001027156
Config. 3,3,3,0.8203125,0.10550680000233115
Config. 3,3,4,0.8203125,0.14016450000053737
Config. 3,3,5,0.8359375,0.19907310000053258
Config. 3,3,6,0.84375,0.2490090000028431
Config. 3,3,7,0.84375,0.29614159999982803
Config. 3,3,8,0.84375,0.36452750000171363
Config. 3,3,9,0.84375,0.44014980000065407
